symbol,period,period_type,fii_pct,dii_pct,promoter_pct,public_pct,shareholders,sector
360ONE,Dec 2023,DEC 2023,62.4800,8.8700,17.7800,10.8600,42622.0000,Financial Services
360ONE,Dec 2024,DEC 2024,66.1600,9.7300,14.7600,9.3600,71912.0000,Financial Services
360ONE,Dec 2025,DEC 2025,65.5100,10.8200,6.2500,17.4100,74516.0000,Financial Services
360ONE,Jun 2024,JUN 2024,64.5600,8.7200,15.7900,10.9200,58786.0000,Financial Services
360ONE,Jun 2025,JUN 2025,68.5400,7.8700,6.2700,17.3100,68603.0000,Financial Services
360ONE,Jun 2026,JUN 2026,58.5500,18.7000,6.2000,16.5300,76687.0000,Financial Services
360ONE,Mar 2020,MAR 2020,20.0600,1.3400,22.9300,55.6700,22159.0000,Financial Services
360ONE,Mar 2021,MAR 2021,24.2000,2.0400,22.9200,50.8400,20832.0000,Financial Services
360ONE,Mar 2022,MAR 2022,22.1300,3.5700,23.1400,51.1700,30865.0000,Financial Services
360ONE,Mar 2023,MAR 2023,64.8300,2.2200,22.0200,10.9400,35480.0000,Financial Services
360ONE,Mar 2024,MAR 2024,63.2200,8.3400,17.7600,10.7000,46512.0000,Financial Services
360ONE,Mar 2025,MAR 2025,67.2200,8.4800,14.2000,10.0800,74164.0000,Financial Services
360ONE,Mar 2026,MAR 2026,63.3300,12.7500,6.2400,17.6700,74294.0000,Financial Services
360ONE,Sep 2023,SEP 2023,61.8700,6.3600,20.8400,10.9200,38102.0000,Financial Services
360ONE,Sep 2024,SEP 2024,65.5800,8.4600,15.7100,10.2300,74074.0000,Financial Services
360ONE,Sep 2025,SEP 2025,65.8700,10.6800,6.2600,17.1800,78007.0000,Financial Services
3MINDIA,Dec 2023,DEC 2023,3.5600,8.5200,75.0000,12.9200,27610.0000,Diversified
3MINDIA,Dec 2024,DEC 2024,4.0100,8.1600,75.0000,12.8400,32147.0000,Diversified
3MINDIA,Dec 2025,DEC 2025,3.5000,8.3900,75.0000,13.1100,30577.0000,Diversified
3MINDIA,Jun 2024,JUN 2024,3.7700,8.2700,75.0000,12.9500,29243.0000,Diversified
3MINDIA,Jun 2025,JUN 2025,3.8400,8.1000,75.0000,13.0500,34588.0000,Diversified
3MINDIA,Jun 2026,JUN 2026,3.5000,8.1600,75.0000,13.3300,30673.0000,Diversified
3MINDIA,Mar 2017,MAR 2017,9.1800,2.5400,75.0000,13.2800,16290.0000,Diversified
3MINDIA,Mar 2018,MAR 2018,9.1700,2.0500,75.0000,13.7800,18145.0000,Diversified
3MINDIA,Mar 2019,MAR 2019,8.2900,2.2200,75.0000,14.4900,22564.0000,Diversified
3MINDIA,Mar 2020,MAR 2020,4.8500,4.4200,75.0000,15.7300,30112.0000,Diversified
3MINDIA,Mar 2021,MAR 2021,3.7600,7.6400,75.0000,13.6000,28823.0000,Diversified
