symbol,sector,company_name
APOLLOTYRE,Automobile and Auto Components,Apollo Tyres Ltd.
ARE&M,Automobile and Auto Components,Amara Raja Energy & Mobility Ltd.
ASAHIINDIA,Automobile and Auto Components,Asahi India Glass Ltd.
ATHERENERG,Automobile and Auto Components,Ather Energy Ltd.
BAJAJ-AUTO,Automobile and Auto Components,Bajaj Auto Ltd.
BALKRISIND,Automobile and Auto Components,Balkrishna Industries Ltd.
BELRISE,Automobile and Auto Components,Belrise Industries Ltd.
BHARATFORG,Automobile and Auto Components,Bharat Forge Ltd.
BOSCHLTD,Automobile and Auto Components,Bosch Ltd.
CEATLTD,Automobile and Auto Components,Ceat Ltd.
CIEINDIA,Automobile and Auto Components,CIE Automotive India Ltd.
CRAFTSMAN,Automobile and Auto Components,Craftsman Automation Ltd.
EICHERMOT,Automobile and Auto Components,Eicher Motors Ltd.
ENDURANCE,Automobile and Auto Components,Endurance Technologies Ltd.
EXIDEIND,Automobile and Auto Components,Exide Industries Ltd.
FORCEMOT,Automobile and Auto Components,Force Motors Ltd.
GABRIEL,Automobile and Auto Components,Gabriel India Ltd.
HEROMOTOCO,Automobile and Auto Components,Hero MotoCorp Ltd.
HYUNDAI,Automobile and Auto Components,Hyundai Motor India Ltd.
JBMA,Automobile and Auto Components,JBM Auto Ltd.
JKTYRE,Automobile and Auto Components,JK Tyre & Industries Ltd.
M&M,Automobile and Auto Components,Mahindra & Mahindra Ltd.
MARUTI,Automobile and Auto Components,Maruti Suzuki India Ltd.
MINDACORP,Automobile and Auto Components,Minda Corporation Ltd.
MOTHERSON,Automobile and Auto Components,Samvardhana Motherson International Ltd.
MRF,Automobile and Auto Components,MRF Ltd.
MSUMI,Automobile and Auto Components,Motherson Sumi Wiring India Ltd.
OLAELEC,Automobile and Auto Components,Ola Electric Mobility Ltd.
OLECTRA,Automobile and Auto Components,Olectra Greentech Ltd.
RKFORGE,Automobile and Auto Components,Ramkrishna Forgings Ltd.
SCHAEFFLER,Automobile and Auto Components,Schaeffler India Ltd.
SONACOMS,Automobile and Auto Components,Sona BLW Precision Forgings Ltd.
TENNIND,Automobile and Auto Components,Tenneco Clean Air India Ltd.
TIINDIA,Automobile and Auto Components,Tube Investments of India Ltd.
TMPV,Automobile and Auto Components,Tata Motors Passenger Vehicles Ltd.
TVSMOTOR,Automobile and Auto Components,TVS Motor Company Ltd.
UNOMINDA,Automobile and Auto Components,UNO Minda Ltd.
ZFCVINDIA,Automobile and Auto Components,ZF Commercial Vehicle Control Systems India Ltd.
ABB,Capital Goods,ABB India Ltd.
ACE,Capital Goods,Action Construction Equipment Ltd.
AIAENG,Capital Goods,AIA Engineering Ltd.
APARINDS,Capital Goods,Apar Industries Ltd.
APLAPOLLO,Capital Goods,APL Apollo Tubes Ltd.
ASHOKLEY,Capital Goods,Ashok Leyland Ltd.
ASTRAL,Capital Goods,Astral Ltd.
BDL,Capital Goods,Bharat Dynamics Ltd.
BEL,Capital Goods,Bharat Electronics Ltd.
BEML,Capital Goods,BEML Ltd.
BHEL,Capital Goods,Bharat Heavy Electricals Ltd.
CARBORUNIV,Capital Goods,Carborundum Universal Ltd.
CGPOWER,Capital Goods,CG Power and Industrial Solutions Ltd.
COCHINSHIP,Capital Goods,Cochin Shipyard Ltd.
CPPLUS,Capital Goods,Aditya Infotech Ltd.
CUMMINSIND,Capital Goods,Cummins India Ltd.
DATAPATTNS,Capital Goods,Data Patterns (India) Ltd.
ELECON,Capital Goods,Elecon Engineering Co. Ltd.
ELGIEQUIP,Capital Goods,Elgi Equipments Ltd.
EMMVEE,Capital Goods,Emmvee Photovoltaic Power Ltd.
ENRIN,Capital Goods,Siemens Energy India Ltd.
ESCORTS,Capital Goods,Escorts Kubota Ltd.
FINCABLES,Capital Goods,Finolex Cables Ltd.
GALLANTT,Capital Goods,Gallantt Ispat Ltd.
GPIL,Capital Goods,Godawari Power & Ispat Ltd.
GRAPHITE,Capital Goods,Graphite India Ltd.
GRSE,Capital Goods,Garden Reach Shipbuilders & Engineers Ltd.
GVT&D,Capital Goods,GE Vernova T&D India Ltd.
HAL,Capital Goods,Hindustan Aeronautics Ltd.
HBLENGINE,Capital Goods,HBL Engineering Ltd.
HEG,Capital Goods,HEG Ltd.
HONAUT,Capital Goods,Honeywell Automation India Ltd.
INOXWIND,Capital Goods,Inox Wind Ltd.
JINDALSAW,Capital Goods,Jindal Saw Ltd.
JWL,Capital Goods,Jupiter Wagons Ltd.
JYOTICNC,Capital Goods,Jyoti CNC Automation Ltd.
KAYNES,Capital Goods,Kaynes Technology India Ltd.
KEI,Capital Goods,KEI Industries Ltd.
KIRLOSENG,Capital Goods,Kirloskar Oil Eng Ltd.
MAZDOCK,Capital Goods,Mazagoan Dock Shipbuilders Ltd.
POLYCAB,Capital Goods,Polycab India Ltd.
POWERINDIA,Capital Goods,Hitachi Energy India Ltd.
PREMIERENE,Capital Goods,Premier Energies Ltd.
